stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url
FRANKLIN, Franklin Park Metra, , 41.9366667, -87.8663889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.FRANKLIN.html
MONTCLARE, Mont Clare Metra, , 41.9216667, -87.8016667, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.MONTCLARE.html
MARS, Mars Metra, , 41.9191667, -87.7944444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.MARS.html
GALEWOOD, Galewood Metra, , 41.9163889, -87.7858333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.GALEWOOD.html
HANSONPK, Hanson Park Metra, , 41.9166667, -87.7669444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.HANSONPK.html
GRAND/CIC, Grand/Cicero Metra, , 41.9144444, -87.7461111, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.GRAND-CIC.html
O'HARE, O'Hare Transfer Metra, , 41.9950000, -87.8805556, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.OHARE.html
PROSPECTHG, Prospect Hts Metra, , 42.0922222, -87.9080556, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.PROSPECTHG.html
WHEELING, Wheeling Metra, , 42.1363889, -87.9272222, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.WHEELING.html
BUFFGROVE, Buffalo Grove Metra, , 42.1686111, -87.9413889, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.BUFFGROVE.html
PRAIRIEVW, Prairie View Metra, , 42.1980556, -87.9558333, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.PRAIRIEVW.html
VERNON, Vernon Hills Metra, , 42.2155556, -87.9644444, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.VERNON.html
MUNDELEIN, Mundelein Metra, , 42.2669444, -87.9980556, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.MUNDELEIN.html
PRAIRCROSS, Prairie Crossing. Metra, , 42.3180556, -88.0172222, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.PRAIRIEXNG.html
ROUNDLKBCH, Round Lake Beach Metra, , 42.3850000, -88.0655556, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.ROUNDLKBCH.html
LAKEVILLA, Lake Villa Metra, , 42.4175000, -88.0794444, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.LAKEVILLA.html
ANTIOCH, Antioch Metra, , 42.4811111, -88.0925000, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.ANTIOCH.html
NEWLENOX, New Lenox Metra, , 41.5144444, -87.9652778, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.NEWLENOX.html
MOKENA, Mokena Metra, , 41.5308333, -87.8866667, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.MOKENA.html
HICKORYCRK, Hickory Creek Metra, , 41.5486111, -87.8455556, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.HICKORYCRK.html
TINLEY80TH, Tinley-80th Metra, , 41.5644444, -87.8094444, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.TINLEY80TH.html
TINLEYPARK, Tinley Park Metra, , 41.5758333, -87.7827778, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.TINLEYPARK.html
OAKFOREST, Oak Forest Metra, , 41.6044444, -87.7383333, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.OAKFOREST.html
MIDLOTHIAN, Midlothian Metra, , 41.6263889, -87.7116667, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.MIDLOTHIAN.html
ROBBINS, Robbins Metra, , 41.6408333, -87.6944444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.ROBBINS.html
KENSINGTN, Kensington Metra, , 41.6858333, -87.6122222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.KENSINGTN.html
59TH-UP, 59th St. (U. of Chicago) Metra, , 41.7880556, -87.5886111, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.59TH-UP.html
UNIVERSITY, University Park Metra, , 41.4594444, -87.7233333, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.UNIVERSITY.html
RICHTON, Richton Park Metra, , 41.4855556, -87.7094444, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.RICHTON.html
MATTESON, Matteson Metra, , 41.4986111, -87.7022222, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.MATTESON.html
211TH-UP, 211th St. Metra, , 41.5061111, -87.6983333, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.211TH-UP.html
OLYMPIA, Olympia Fields Metra, , 41.5213889, -87.6900000, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.OLYMPIA.html
FLOSSMOOR, Flossmoor Metra, , 41.5430556, -87.6786111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.FLOSSMOOR.html
HOMEWOOD, Homewood Metra, , 41.5622222, -87.6686111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.HOMEWOOD.html
CALUMET, Calumet Metra, , 41.5736111, -87.6625000, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.CALUMET.html
EDISONPK, Edison Park Metra, , 42.0022222, -87.8175000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.EDISONPK.html
NORWOODP, Norwood Park Metra, , 41.9916667, -87.7988889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.NORWOODP.html
GLADSTONEP, Gladstone Park Metra, , 41.9797222, -87.7780556, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.GLADSTONEP.html
JEFFERSONP, Jefferson Park Metra, , 41.9713889, -87.7633333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.JEFFERSONP.html
BARTLETT, Bartlett Metra, , 41.9922222, -88.1838889, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.BARTLETT.html
47TH-UP, 47th St. (Kenwood) Metra, , 41.8097222, -87.5913889, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.47TH-UP.html
51ST/53RD, 51st/53rd St. (Hyde Park) Metra, , 41.8000000, -87.5869444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.51ST-53RD.html
55-56-57TH, 55th - 56th - 57th St. Metra, , 41.7933333, -87.5875000, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.55-56-57TH.html
63RD-UP, 63rd St. Metra, , 41.7802778, -87.5905556, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.63RD-UP.html
PRAIRIEXNG, Prairie Crossing Metra, , 42.3208333, -88.0152778, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.PRAIRIEXNG.html
RIVERGROVE, River Grove Metra, , 41.9311111, -87.8361111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.RIVERGROVE.html
ELMWOODPK, Elmwood Park Metra, , 41.9247222, -87.8147222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.ELMWOODPK.html
RIVERDALE, Riverdale Metra, , 41.6466667, -87.6233333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.RIVERDALE.html
IVANHOE, Ivanhoe Metra, , 41.6333333, -87.6302778, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.IVANHOE.html
147TH-UP, 147th St. Metra, , 41.6227778, -87.6361111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.147TH-UP.html
HARVEY, Harvey Metra, , 41.6083333, -87.6438889, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.HARVEY.html
HAZELCREST, Hazel Crest Metra, , 41.5808333, -87.6586111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.HAZELCREST.html
RANDOLPH, Randolph St. Metra, , 41.8841667, -87.6230556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.RANDOLPH.html
VANBUREN, Van Buren St. Metra, , 41.8769444, -87.6230556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.VANBUREN.html
MUSEUM, Museum Campus/11th St. Metra, , 41.8686111, -87.6213889, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.MUSEUM.html
18TH-UP, 18th St. Metra, , 41.8583333, -87.6180556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.18TH-UP.html
MCCORMICK, McCormick Place Metra, , 41.8513889, -87.6163889, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.MCCORMICK.html
27TH-UP, 27th St. Metra, , 41.8441667, -87.6133333, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.27TH-UP.html
75TH-UP, 75th St. (Grand Crossing) Metra, , 41.7588889, -87.5952778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.75TH-UP.html
79TH-UP, 79th St. (Chatham) Metra, , 41.7508333, -87.5972222, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.79TH-UP.html
83RD-UP, 83rd St. (Avalon Park) Metra, , 41.7441667, -87.5986111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.83RD-UP.html
87TH-UP, 87th St. (Woodruff) Metra, , 41.7369444, -87.6002778, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.87TH-UP.html
91ST-UP, 91st St. Metra, , 41.7294444, -87.6019444, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.91ST-UP.html
95TH-UP, 95th St. Metra, , 41.7219444, -87.6038889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.95TH-UP.html
